Symbol,ExDate,Qty,PerShare,Commission,Tax,Broker
0107,2013-06-03,10000,0.10037,0,100.37,IB
1988,2013-09-02,1500,0.19873214,0,29.81,IB
0272,2013-09-09,4000,0.022,0,8.8,IB
2382,2014-05-15,4000,0.154,0,48.19,IB
0133,2014-05-26,2000,0.47,0,0,IB
0272,2014-06-03,4000,0.04,0,16,IB
8058,2014-06-03,2000,0.3772,0,75.44,IB
0272,2014-09-11,4000,0.022,0,8.8,IB
0587,2015-01-02,8000,0.036,0,0,IB
3399,2015-06-15,7000,0.16183495,0,113.28,IB
1988,2015-06-23,3000,0.13950716,0,41.85,IB
0861,2016-04-11,3000,3.2,52.5,0,FUTU
0635,2016-04-14,2000,0.205,31.5,0,FUTU
1918,2016-05-23,3000,0.23,0,66.77,IB
1918,2016-05-23,8000,0.23,42,0,FUTU
0777,2016-05-25,500,0.1,31.5,0,FUTU
0175,2016-05-27,5000,0.038,31.5,0,FUTU
2333,2016-05-30,500,0.22577,36,45.15,FUTU
0819,2016-05-31,4000,0.318,33,0,FUTU
0998,2016-06-06,10000,0.251234,45,251.23,FUTU
2238,2016-06-10,4000,0.142560,0,57.02,IB
3399,2016-06-20,6000,0.153175,39,89.07,FUTU
3618,2016-06-22,6000,0.235811,0,141.49,IB
3618,2016-06-22,5000,0.235811,37.5,118.06,FUTU
3968,2016-07-05,3000,0.810497,0,243.15,IB
3968,2016-07-05,1000,0.810497,33,81.05,FUTU
0777,2016-09-13,500,0.1,0,0,IB
0777,2016-09-13,1000,0.1,31.5,0,FUTU
1333,2016-10-06,7200,0.11,0,0,IB
2007,2017-05-23,10000,0.1156,0,231.2,GJ-ZJW
1918,2017-05-24,19000,0.291,0,0,IB
1918,2017-05-24,26000,0.291,57,0,FUTU
1918,2017-05-24,27000,0.291,0,1571.4,GJ-ZJW
1918,2017-05-24,13000,0.291,0,756.6,GJ-WJ
0165,2017-06-12,4000,0.5,33,0,FUTU
0165,2017-06-12,2000,0.5,0,200,GJ-WJ
0392,2017-06-26,1500,0.65,0,0,IB
0392,2017-06-26,500,0.65,31.5,0,FUTU
0392,2017-09-19,1500,0.30,0,0,IB
0392,2017-09-19,500,0.30,30,0,FUTU
0392,2017-09-19,1000,0.30,0,60,GJ-WJ
1988,2017-10-09,9000,0.14147106,57,127.33,FUTU
